Per	M
0.11	1.8574362669420588
0.13	0.3331344879646412
0.16	0.446786430449018
0.19	0.38446946836462653
0.21	0.8384090842422269
0.36	0.8918791622599465
0.49	0.5517818770281968
0.51	0.6757345237642028
0.51	0.5909360850478753
0.59	0.6992300622851694
0.72	1.1531214859668266
0.79	0.9431686885896511
0.79	0.513296621335511
0.81	1.5454509552268587
0.88	0.8384090842422269
0.88	0.9591810111495438
0.9	1.2635127878461
0.94	1.2142190835807605
0.96	0.5533072920477347
1.07	0.861645205876024
1.09	1.084081964831183
1.12	0.9363639399986858
1.13	1.0155180742894085
1.19	0.607197427163031
1.19	0.7635669954148449
1.5	0.9139305959235697
1.55	1.1427110870414985
1.63	0.575018743026118
1.97	1.797724428786186
2.29	2.0250496226451618
2.36	1.9657481084279886
2.39	0.9431686885896511
2.71	1.7019960065908364
2.73	1.776936859720101
2.8	1.2332341448260447
2.8	1.6819063284509956
3.1	1.655352252984266
3.18	1.155734027256909
3.39	1.1635955327477776
3.54	1.7019960065908364
3.67	0.5640798559219886
3.67	1.7426235731618702
3.78	1.5740778754995344
3.86	0.8279974422075495
3.99	1.599804601487166
4.19	1.6752429434802272
4.29	1.4282543115123347
4.37	1.551783634432247
4.65	1.3895186495715675
4.83	0.8940671724174808
4.88	1.1767777284205185
4.93	1.7873119244545435
5.35	0.740379347473977
5.41	1.3983964159304865
5.41	0.7121329835361176
5.41	1.7053588054107163
5.47	1.434274932266817
5.47	0.8510268860027238
5.59	0.5161772118636244
5.99	0.5411982438510121
5.99	1.3954330817619132
6.06	1.7907785987813143
6.06	2.0325374404701337
6.14	1.5109156464802518
6.37	0.5367127507682478
6.54	1.3027547053081925
6.71	1.3027547053081925
6.9	1.2802338451954758
7.0	1.252446033840049
7.2	0.7694464301465387
7.3	0.5382045668701874
7.41	1.1635955327477776
7.41	1.1980767957859129
7.52	0.73466465958343
7.52	1.3806775772353261
7.52	0.7557791786934446
7.75	1.1531214859668266
7.75	1.155734027256909
8.0	1.124645775583261
8.0	0.987070503674452
8.0	1.1583505479102099
8.0	1.2223443212536238
8.13	0.5656323492187234
8.27	0.9614838917733375
8.27	1.091610680379428
8.27	1.2607400571298302
8.4	1.155734027256909
8.55	0.617120445255145
8.55	0.9408965987683443
8.7	1.1375297280083594
8.7	1.081580273584918
8.85	1.1609710492882483
8.85	1.1144099497852653
8.85	0.911708296976498
9.01	0.9823835783811914
9.01	1.4162621336232115
9.35	0.9183866530861249
9.35	0.8766693989591542
9.52	0.8896949526026112
9.71	0.9777121419375054
9.71	0.6305462096942489
9.9	0.7892841251877402
9.9	0.9777121419375054
10.31	0.8300722790919038
10.31	0.9228580015034731
10.52	0.9139305959235697
10.52	0.7158520198566986
10.52	0.9684156810495741
10.75	0.5877251813822052
10.75	0.8300722790919038
10.75	0.9454446210780915
10.99	0.7912882219131661
11.23	0.8074545303634131
11.23	0.5161772118636244
11.49	0.7753589920864086
12.98	0.43665573466712776
14.08	1.252446033840049
15.37	0.6992300622851694
18.85	1.1847349165952687
23.22	1.8895357954826206
0.11	1.8574362669420588
0.13	0.3331344879646412
0.16	0.446786430449018
0.19	0.38446946836462653
0.21	0.8384090842422269
0.36	0.8918791622599465
0.49	0.5517818770281968
0.51	0.6757345237642028
0.51	0.5909360850478753
0.59	0.6992300622851694
0.72	1.1531214859668266
0.79	0.9431686885896511
0.79	0.513296621335511
0.81	1.5454509552268587
0.88	0.8384090842422269
0.88	0.9591810111495438
0.9	1.2635127878461
0.94	1.2142190835807605
0.96	0.5533072920477347
1.07	0.861645205876024
1.09	1.084081964831183
1.12	0.9363639399986858
1.13	1.0155180742894085
1.19	0.607197427163031
1.19	0.7635669954148449
1.5	0.9139305959235697
1.55	1.1427110870414985
1.63	0.575018743026118
1.97	1.797724428786186
2.29	2.0250496226451618
2.36	1.9657481084279886
2.39	0.9431686885896511
2.71	1.7019960065908364
2.73	1.776936859720101
2.8	1.2332341448260447
2.8	1.6819063284509956
3.1	1.655352252984266
3.18	1.155734027256909
3.39	1.1635955327477776
3.54	1.7019960065908364
3.67	0.5640798559219886
3.67	1.7426235731618702
3.78	1.5740778754995344
3.86	0.8279974422075495
3.99	1.599804601487166
4.19	1.6752429434802272
4.29	1.4282543115123347
4.37	1.551783634432247
4.65	1.3895186495715675
4.83	0.8940671724174808
4.88	1.1767777284205185
4.93	1.7873119244545435
5.35	0.740379347473977
5.41	1.3983964159304865
5.41	0.7121329835361176
5.41	1.7053588054107163
5.47	1.434274932266817
5.47	0.8510268860027238
5.59	0.5161772118636244
5.99	0.5411982438510121
5.99	1.3954330817619132
6.06	1.7907785987813143
6.06	2.0325374404701337
6.14	1.5109156464802518
6.37	0.5367127507682478
6.54	1.3027547053081925
6.71	1.3027547053081925
6.9	1.2802338451954758
7.0	1.252446033840049
7.2	0.7694464301465387
7.3	0.5382045668701874
7.41	1.1635955327477776
7.41	1.1980767957859129
7.52	0.73466465958343
7.52	1.3806775772353261
7.52	0.7557791786934446
7.75	1.1531214859668266
7.75	1.155734027256909
8.0	1.124645775583261
8.0	0.987070503674452
8.0	1.1583505479102099
8.0	1.2223443212536238
8.13	0.5656323492187234
8.27	0.9614838917733375
8.27	1.091610680379428
8.27	1.2607400571298302
8.4	1.155734027256909
8.55	0.617120445255145
8.55	0.9408965987683443
8.7	1.1375297280083594
8.7	1.081580273584918
8.85	1.1609710492882483
8.85	1.1144099497852653
8.85	0.911708296976498
9.01	0.9823835783811914
9.01	1.4162621336232115
9.35	0.9183866530861249
9.35	0.8766693989591542
9.52	0.8896949526026112
9.71	0.9777121419375054
9.71	0.6305462096942489
9.9	0.7892841251877402
9.9	0.9777121419375054
10.31	0.8300722790919038
10.31	0.9228580015034731
10.52	0.9139305959235697
10.52	0.7158520198566986
10.52	0.9684156810495741
10.75	0.5877251813822052
10.75	0.8300722790919038
10.75	0.9454446210780915
10.99	0.7912882219131661
11.23	0.8074545303634131
11.23	0.5161772118636244
11.49	0.7753589920864086
12.98	0.43665573466712776
14.08	1.252446033840049
15.37	0.6992300622851694
18.85	1.1847349165952687
23.22	1.8895357954826206
