Per	M
7.96596671	1.1551123026540953
8.21743495	0.9914483449291539
6.3225813	1.238873390470271
1.69921452	0.6102637563665307
7.6214872	1.0912639860860014
15.5886244	1.149111580467351
8.45071991	0.508803789907988
8.73549565	0.9584038797294328
8.45038568	1.0388310254857591
1.25855603	0.45407843988573027
11.60712687	0.7499038369101395
8.41870095	0.9100710457976198
9.08103926	0.8306168398841101
0.7115887	0.389154298787343
3.25558346	0.3958842118433453
3.52788205	0.5613899461388911
6.05726804	0.7980534948791143
7.2258072	1.103634571943666
10.03454839	0.8343627494780295
7.4490182	1.0879978936601253
9.90195829	0.9212066531099182
11.76071834	0.7932199825473168
9.97022436	0.8217173619869693
7.39896076	1.0812357520159708
0.85131637	0.5039721512486431
6.88972315	1.176148422258227
12.12752437	0.8161646286381764
9.5230675	0.9060855927287299
3.58997115	1.5242379176681535
0.62538148	1.0092167295061767
12.22282908	0.4822877671242688
2.26233455	0.3491979098814206
9.25806548	0.37436504591971337
7.55760447	1.1446897830138423
12.38833134	0.46217966543750943
9.08103926	0.9094059453249147
6.56135434	1.1750905574595691
7.06302611	1.2764929170992916
8.47604905	0.9545000419632397
7.11670098	1.087245126135903
1.39275129	0.4041221916107481
12.95388042	0.36722036051369855
7.81585427	1.3973948300287304
10.56085398	0.8145245981046034
11.25030741	0.807377506208573
12.59396802	0.33134303687982064
16.45007932	0.8153443150390097
7.38885986	1.150414295564726
12.4652775	0.7255180832265575
10.67138937	0.8075810758267927
12.27104576	0.6973320638996817
13.73381898	0.5396430939701761
6.38749487	1.2986879627644612
9.73618153	0.7644705878269742
1.38253778	1.6634965545127889
7.79331656	1.0650741990560872
0.6566298	0.429636620194942
18.25537171	1.0407776203142218
6.31728528	1.411669024457359
1.78632709	0.5751166298848807
12.69159527	0.4915038580658174
6.39405961	1.1449495707967967
14.8837799	0.5558502463342243
16.24391645	0.4906725953872911
6.03318464	0.6949600880653408
8.76256366	0.9029943366796187
4.57457353	1.5446989730104421
7.96738284	1.1127836028489766
9.53766672	1.0077872132038597
5.65583655	1.3504924341937363
4.52466909	1.0692850245990821
8.28307815	0.7326953165138808
7.46869148	0.8522160278044109
7.27566366	0.9952206021043599
0.5169499	0.32034755176183705
11.45116878	0.7731125745018739
2.71416979	0.7028290495757955
6.83672527	1.2531693788129097
6.18431412	1.515789831265243
13.12049509	0.5894287177634888
9.97022436	0.8770196441545791
8.51083447	0.8815643487369424
10.87660839	0.6712182429713651
6.49307724	1.3823314869565484
9.53848489	0.7828205721097405
16.28368586	0.44431402253581226
6.28539962	0.41718830712222993
6.27232829	0.7621260391209559
3.90744975	1.528002251180019
17.6744892	0.42704740524151064
13.82368889	0.5623174969150413
5.94782027	1.40600757634346
6.26527714	1.3717623570611737
2.11901226	0.3660420113366905
10.63490632	0.7526073127494711
10.12846865	0.373928384343948
1.57040905	0.46920204231626783
6.16409393	1.3248535313266545
8.18753421	1.2019972840524709
1.19146907	0.39256320931078403
8.69639755	0.8837343695152706
9.67561431	0.9437649778032934
1.24662525	0.37349219483858037
12.31964396	0.8219235415017486
10.2549286	0.8254343105773275
11.49985213	0.8900488883158247
14.88196172	0.4685357155947006
7.33658019	1.2686867998279974
0.88636843	0.926810302961918
8.79598842	0.7240137701621543
5.62650145	1.3182799995229224
7.11670098	1.0344603377325594
12.39175299	0.592002183753755
0.73048436	0.41227493334700327
5.07871037	0.6267680984809799
1.07922623	0.3971505343118673
