Per	Mass
0.33	0.9599973648596613
3.6	0.963291601843535
3.7	0.8134223684615977
3.47	0.7499983741285174
6.4	0.7499985085021641
2.45	0.8480830778506218
4.74	0.9126221838862709
5.1	0.8387615679395679
2.79	0.7243884985306239
0.34600000000000003	0.5999987898924103
4.8	0.8852113964545568
4.3	0.9256057716463376
3.85	0.7499985085021641
0.25	0.43962972421448815
5.1	0.8779324307265055
2.67	0.7499986701614841
4.32	0.7923015876100244
0.324	0.8641943062629911
3.1	0.7999984467097241
0.3	0.5499990134272974
10.7	0.9336202559634758
0.231	0.5499990134272974
3.25	0.917182638308469
0.629	0.7499980525814142
0.7440000000000001	0.851097201424772
4.54	0.8939847070623553
5.55	0.8195685438468927
1.8	0.9059998947222729
0.264	0.5452093576573364
0.325	0.48066768449484254
0.28800000000000003	0.549999083558089
1.3	0.7543152544233007
2.5	0.7347255572503985
5.87	0.924576600092002
4.83	0.8497684217690191
