Per	Mass	Tau
2.318	0.3568162011061853	25433832.56582918
0.649	0.16972477643367462	37227888.16669379
7.6770000000000005	0.48249530222569625	17511148.193390448
6.291	0.41150152121681505	21986524.88155234
8.802999999999999	0.4962138101277247	16646347.226480085
1.347	0.6833022534621976	6466287.816385764
0.968	0.26520375121598994	31208989.442354597
0.413	0.16466842970145878	37546635.18891242
1.32	0.2976534092695455	29163395.573033284
9.606	0.5717194279601281	11886548.874140937
0.8690000000000001	0.23834662494231776	32902035.722298138
0.275	0.553453369632044	13038022.854881402
1.271	0.27602030390050825	30527124.819247507
0.37200000000000005	0.3210886213746931	27686063.327207603
1.244	0.4104668010816554	22051752.600175835
10.374	0.536601632103991	14100339.472144488
1.739	0.39038066309479946	23317962.575530335
2.076	0.33803733723965435	26617633.292936876
0.7609999999999999	0.2051192035591852	34996659.01116341
0.40299999999999997	0.1422798619387975	38471334.30797409
4.4319999999999995	0.5132018558423828	15575437.877965484
0.371	0.1454827353900803	38471334.30797409
0.8079999999999999	0.20945321504394177	34723447.27783315
0.639	0.20656387405410423	34905588.433386646
1.192	0.358981650266741	25297324.82451958
0.914	0.2706120275582491	30868057.13080105
0.42	0.19645118058967256	35543082.4778239
2.5610000000000004	0.47932949270984376	17710717.647292823
1.59	0.31543904941970574	28042206.671964526
1.36	0.3600643748470187	25229070.95386479
0.77	0.15961208296924295	37865382.21113105
0.634	0.2051192035591852	34996659.01116341
0.6809999999999999	0.23906896018977727	32856500.433409758
0.39299999999999996	0.5291562487480248	14569688.964905709
0.539	0.20873087979648225	34768982.56672153
0.297	0.24701464791183064	32355612.25563763
0.371	0.46772152448505006	18442472.311601616
0.32	0.15166639524718956	38366270.38890318
6.816	0.5121382296486736	15642487.805502784
1.171	0.2643023718256132	31265811.4942802
9.241	0.5483015202347951	13362790.269233994
4.612	0.48777165141878426	17178532.436886452
2.392	0.4719426038395207	18176379.706398405
1.999	0.3524853027850735	25706848.048448402
2.356	0.5291562487480248	14569688.964905709
0.741	0.19861818633205058	35406476.61115879
3.532	0.3600643748470187	25229070.95386479
0.5589999999999999	0.19139483385745673	35861829.50004253
0.35200000000000004	0.27602030390050825	30527124.819247507
0.7509999999999999	0.2931465123176627	29447505.83266125
0.742	0.3698088960695196	24614786.117971573
6.065	0.32862138398134233	27211205.534198403
0.41	0.18922782811507843	35998435.36670766
0.42200000000000004	0.17983746989810628	36590394.12225654
2.741	0.2778230626812616	30413480.715396304
0.595	0.2615982336544835	31436277.650056984
0.9179999999999999	0.31167266811638106	28279635.56846913
0.599	0.27602030390050825	30527124.819247507
0.14800000000000002	0.325796598003849	27389277.206576847
6.422000000000001	0.45611355626025674	19174226.975910384
0.7040000000000001	0.27331616572937883	30697590.975024268
0.639	0.2441253069219931	32537753.41119113
1.036	0.33521255126216065	26795704.965315342
0.36200000000000004	0.18489381663032212	36271647.10003791
0.26899999999999996	0.37847069271174283	24068755.152733147
0.446	0.2116202207863198	34586841.41116803
0.375	0.4930480006118722	16845916.680382464
0.698	0.48038476254846113	17644194.49599204
1.314	0.32203021670052406	27626706.103081465
0.895	0.2931465123176627	29447505.83266125
0.428	0.14477098573423958	38471334.30797409
11.965	0.5238381177794775	14904938.602592297
5.716	0.5408561368788288	13832139.761995219
1.72	0.24701464791183064	32355612.25563763
0.365	0.20222986256934766	35178800.1667169
2.237	0.3514025782047958	25775101.91910319
12.232000000000001	0.46455571496919756	18642041.76550399
2.2230000000000003	0.4218487225684132	21334247.695317302
0.941	0.23473494870502068	33129712.166740023
2.315	0.6327123805537764	8041614.370009799
8.698	0.5195836130046397	15173138.312741566
0.488	0.18344914613540336	36362717.677814655
0.499	0.2051192035591852	34996659.01116341
1.4669999999999999	0.41977928229809364	21464703.132564306
1.415	0.36439527316813014	24956055.471245587
0.635	0.20656387405410423	34905588.433386646
0.7929999999999999	0.26069685426410716	31493099.70198256
2.391	0.3665607223286862	24819547.729935966
1.225	0.357898925686463	25365578.69517439
0.762	0.4249528829738924	21138564.539446805
0.46299999999999997	0.5078837248738358	15910687.51565205
0.754	0.2579927160929774	31663565.857759345
0.581	0.2051192035591852	34996659.01116341
1.415	0.3622298240075744	25092563.212555185
2.805	0.43530008432549055	20486287.353211764
0.446	0.16466842970145878	37546635.18891242
0.659	0.15527807148448663	38138593.9444613
1.749	0.4239181628387328	21203792.258070298
0.7490000000000001	0.26069685426410716	31493099.70198256
0.545	0.2210105790032922	33994882.655619144
0.485	0.5788228950877163	11438753.437186316
6.795	0.5174563606172209	15307238.167816196
0.863	0.26069685426410716	31493099.70198256
0.491	0.14121223745503653	38471334.30797409
0.308	0.22389991999312975	33812741.50006565
0.9159999999999999	0.4592793657761096	18974657.522007983
4.584	0.30978947746471874	28398350.016721427
4.073	0.3968770105764666	22908439.35160153
5.065	0.46455571496919756	18642041.76550399
0.505	0.48882692125740196	17112009.28558565
5.229	0.5605568367596323	12590227.41792677
