Per	Mass	Tau
12.807	0.8350670872635546	4608417.8406805685
0.741	0.4337588255805814	14391557.794953795
6.811	0.9204061011923481	4149758.962809957
0.865	0.4651661409270577	12512971.978780283
0.924	0.4868891151193012	11623385.031967074
4.059	0.8974416970527433	4404990.595327863
0.489	0.477669480723756	12000942.282649426
0.604	0.4107343363347265	16174327.309992146
5.231	0.668124993113106	6800530.418615364
5.194	0.8965583437801775	4405403.112163025
0.883	0.3620044228711179	26130079.341311533
4.8919999999999995	0.9051251173693763	4339960.698161647
2.905	0.6689437819697756	6787986.409256645
0.797	0.38373538252868317	20911341.562793806
0.715	0.4096508309584511	16258222.34599394
3.234	0.9131630975219363	4239912.31178478
5.21	0.7023429885231058	6276303.872096938
1.274	0.427799546011066	14852980.49296372
6.693	0.9236637981861114	4109210.5512258615
1.545	0.3460026921590381	29972930.18198878
0.33899999999999997	0.45872502648633456	12776744.852544656
6.803	0.44974052988064495	13154106.013927206
5.684	0.9075552043922429	4309713.511582598
0.851	0.44770895730012833	13311409.20643059
1.089	0.558590043287689	8834124.454123707
1.136	0.39251411457577906	18803109.74498201
9.922	0.8619308954955918	4421573.772101382
18.143	0.7664007410003216	5378253.1304536415
4.218	0.8099519051259026	4913354.004177706
0.8590000000000001	0.4024726078406262	16814026.95950586
3.742	0.5328272741791228	9742151.537023362
19.335	0.6791201577598144	6632082.292941089
1.3519999999999999	0.5999986624236273	7846881.537586637
15.883	0.6016844004207099	7820966.616100256
6.973	0.8107568789123657	4903580.409193826
4.933	0.6499984556334514	7078232.6051239045
2.1319999999999997	0.48221614974073734	11814749.66587456
4.063	0.35351351810425446	28169188.804441016
7.642	0.5235013289991919	10124062.366790144
13.75	0.8954983198530984	4405898.132365219
2.613	0.7867550508464596	5169820.937866534
1.6340000000000001	0.7509545626064442	5536425.078019741
1.061	0.42942480407547934	14727137.938961009
1.121	0.731143624183078	5835072.362516737
5.987	0.6870741066531783	6510226.202027778
2.354	0.27017792144508324	48182415.71359534
4.21	0.584632771469972	8213227.100644444
7.755	0.6926886588131995	6424210.13785368
0.5820000000000001	0.6171801815005517	7582749.318543206
1.475	0.731143624183078	5835072.362516737
0.41	0.9599956357117675	3656989.7632222064
8.465	0.7843009851203295	5194951.060377036
3.0789999999999997	0.4976243058538402	11183763.5756931
13.122	0.6761959118431368	6676882.326365096
4.5969999999999995	0.7590385438219317	5453643.497985144
8.856	0.7671225250374191	5370861.917950549
1.107	0.9564861935810972	3700671.635482706
1.2590000000000001	0.6949110857098749	6390162.112451429
6.875	0.8654643085858555	4419923.704760733
6.051	0.9555078153021878	3712849.46700421
9.015	0.7983035954400132	5051561.53781711
0.43700000000000006	0.7198793755694002	6007642.908485879
8.744	0.8783612663653186	4413900.958967365
0.281	0.44865702450436956	13238001.049929
11.335999999999999	0.5311815191473703	9809547.565805733
1.8530000000000002	0.42129851375341265	15356350.708974564
9.435	0.7795372104754886	5243733.062897423
4.018	1.0561226226459073	2300408.980078513
10.043	0.9040035387434373	4353920.9381212145
0.747	0.5377645392743797	9539963.450676266
8.009	0.90176038149156	4381841.418040342
7.808	0.9400494384954214	3905259.205043934
0.517	0.6293288738671473	7395986.957258482
0.809	0.8149427426019749	4852757.71527763
9.181000000000001	0.8538040453879849	4425368.926984874
0.405	0.6783013689031449	6644626.302299808
