Per	Mass	Tau
1.11	1.40455177907051	193940.54122105945
2.5	1.3955307794893173	193940.54122105945
2.09	1.3702036861920155	193940.54122105945
0.92	1.3992934764036358	193940.54122105945
3.74	1.335306173666991	193940.54122105945
2.01	1.3439368432717018	193940.54122105945
2.31	1.372791515692551	193940.54122105945
1.44	1.3061587846441307	193940.54122105945
1.83	1.3219189772171114	193940.54122105945
2.38	1.3156980086737289	193940.54122105945
1.38	1.2798921873623874	268816.3537535375
1.81	1.3010024473308348	193940.54122105945
1.49	1.2590408991313873	346935.4051544091
2.22	1.2623352093676268	334593.3192446952
2.49	1.2611525100064482	339024.2853876083
2.06	1.2613890498786842	338138.09215902485
1.9	1.2499970485543241	380818.061240906
2.75	1.2530116654133454	369523.8425454062
0.67	1.2825281347481343	258940.8147923038
3.21	1.2380516685020928	454324.64804407145
3.03	1.242808346813582	424961.4553249398
3.03	1.2351599594918674	472175.2999895285
2.04	1.246518644486223	402057.61813587457
3.37	1.2207014144407415	561428.559716807
3.15	1.2296175172222692	506389.0495516517
2.87	1.2077301208751048	641500.9480185886
4.81	1.1681912655807885	945736.425823875
3.98	1.2026103568722921	673105.485312597
5.83	1.1868933262837007	794826.173749073
1.99	1.1915996125158754	756850.3136063956
5.18	1.192047830252273	753233.5650213787
5.86	1.157847131682134	1029205.0809062733
4.56	1.176752626302388	876653.2843923692
7.18	1.172685979959628	909467.7765723354
6.35	1.1391730613047466	1204780.1426492168
5.05	1.166907061472548	956098.8970386045
6.53	1.1276806472527248	1324096.2500260908
6.67	1.1256284304577209	1345402.6977719609
7.15	1.126654538855223	1334749.4738990248
8.21	1.1187557931126562	1416755.5338005056
6.23	1.1250127654192197	1351794.6320957222
8.45	1.092725362758349	1740745.564827954
7.42	1.089311346840793	1801587.5368776822
9.23	1.0728077467932968	2095702.0334288315
7.0	1.095336080812951	1694219.3509075698
9.28	1.060595044679452	2313347.4394860133
9.82	1.052018669697156	2466189.0136208986
9.82	1.054354297201083	2424565.252412947
9.08	1.0529918478237925	2448845.7797842487
10.04	1.0432600665574314	2551753.5824906332
9.88	1.052018669697156	2466189.0136208986
9.98	1.0332461955126369	2624794.0108908545
9.68	1.0498776778185572	2503485.219603135
10.19	1.0203665607294876	2718737.106222467
10.44	1.024722907788494	2686962.235742656
9.68	1.0027583825833368	2847169.84411066
10.67	1.0154217728517	2754804.0201387955
10.97	0.9993358287239192	2872484.804518805
10.53	1.0079727197526633	2809136.8577693007
10.15	1.024722907788494	2686962.235742656
9.69	1.0111385673197537	2786045.401776338
10.58	1.010579888337326	2790120.364598625
10.41	1.0068553617878073	2817286.78341388
10.43	1.000523666653626	2863469.6953998106
11.03	0.9867361758366687	2971384.2934163827
11.48	0.9834962650942328	2996815.590561474
11.24	0.9836762601354795	2995402.740720079
13.26	0.9865561807954224	2972797.143257776
13.56	0.9818763097230149	3009531.23913402
11.11	0.9755424670856236	3059247.9896827233
10.22	0.9973558832702083	2888026.1527741393
11.11	0.9600060082064872	3181199.5907446584
11.71	0.9327198795271433	3449560.654829754
11.49	0.9434996607711706	3331097.7600299427
10.93	0.959975377537517	3181440.022567094
11.84	0.9399774882406667	3369804.1812923457
15.08	0.9305045544543868	3473905.659157809
12.17	0.9230065311312113	3556304.13534507
9.62	0.9310157833173304	3468287.581235953
11.8	0.9351056142208808	3423342.9578610817
