Per	Mass	Tau
5.42	1.2357075954429528	490506.3122538754
4.81	1.2408603988265425	461683.68523256166
4.78	1.2293208725752276	526230.9687954374
5.06	1.2208052420849278	573863.8441841835
6.36	1.1154934991833445	1319855.9199255263
4.44	1.1102170109789395	1369805.9249990406
7.01	1.1358759527159301	1126904.9233681234
4.9	1.1392416400653784	1095043.5614796504
11.87	1.1448458967156943	1041990.7283693906
13.89	0.9562905791837434	3301868.3159239534
17.41	0.9360213890982108	3564440.718087633
18.19	0.8974354719643931	4063315.7707656506
17.36	0.903187639402431	3973325.8594394214
18.19	0.9121607064233347	3861582.4913746747
18.3	0.9016921282322801	3991949.7541168826
18.4	0.8823613262264632	4360996.233322976
18.0	0.8755094418001313	4496305.5344854
18.33	0.8727686880295987	4550429.254950367
18.7	0.8563241654064028	4875171.577740172
19.62	0.8483069064470574	5033494.403918946
21.29	0.8549537885211362	4902233.437972659
21.75	0.838550764288627	5226156.26091486
21.25	0.8300141399	5394735.385786291
21.54	0.821477515511373	5563314.510657721
21.29	0.822697033281177	5539231.778533228
20.82	0.8153799266623538	5683728.171280171
21.68	0.7943061586386725	6062517.586611789
21.98	0.758402673263797	6534726.179253089
23.28	0.7562907035358631	6562503.155290812
21.23	0.7531227489439623	6604168.619347399
