Per	Mass	Tau
0.11	1.2081648785801846	700059.8766801044
0.13	0.3454447971108783	22912827.386535935
0.16	0.4512843465338109	13462827.07234352
0.19	0.3961785051066736	15826443.24387695
0.21	0.6765266029909223	6643976.692116516
0.36	0.6985071961432385	6174468.740045076
0.49	0.5290823994150714	10732838.907003067
0.51	0.6013923177652717	8626489.035336725
0.51	0.5537766995363076	10013506.938747402
0.59	0.6131364487972066	8284388.678202518
0.72	0.8118102621544104	4874466.103872443
0.79	0.720243195223039	6375188.601118147
0.79	0.5031638624395758	11487832.250623172
0.81	1.019991726337118	2708030.981914832
0.88	0.6765266029909223	6643976.692116516
0.88	0.7269086632159679	6451753.291909276
0.9	0.8658850443180892	4274096.1122169895
0.94	0.8411761414953806	4465057.164435025
0.96	0.5300792662218214	10703800.701479211
1.07	0.6861980639779413	6437393.1932050865
1.09	0.7805385326402858	5692108.2530712765
1.12	0.7173865660832123	6342375.162207662
1.13	0.7497616963345812	6714260.8031931445
1.19	0.5633261859181535	9735335.425436256
1.19	0.6438518684191897	7389664.667236148
1.5	0.7078644689504568	6232997.0325060515
1.55	0.8067031527038071	4945667.658557208
1.63	0.5440354015163192	10297265.824145304
1.97	1.1713291894896765	1014080.9030906718
2.29	1.314424221192326	224641.3108510204
2.36	1.2765756652732416	320637.32607902086
2.39	0.720243195223039	6375188.601118147
2.71	1.11312537927816	1521110.0524144615
2.73	1.1586590393132423	1129548.012751703
2.8	0.8499958123827344	4342096.918573969
2.8	1.1007715117386236	1625851.9472079892
3.1	1.0849726443952834	1908035.8868741407
3.18	0.8130870395170613	4856665.71520125
3.39	0.816917371605014	4803264.549187673
3.54	1.11312537927816	1521110.0524144615
3.67	0.5370573338690704	10500533.262812257
3.67	1.1378170593393162	1311762.3848144768
3.78	1.036939717579074	2618734.503001542
3.86	0.6721304843604589	6737878.282530808
3.99	1.052061797286258	2511962.4269941943
4.19	1.097045991795351	1686485.3780453752
4.29	0.9532796221295685	3303135.1397592593
4.37	1.0237434385591453	2688263.7607415263
4.65	0.9319857840697812	3622307.474540609
4.83	0.6993864198693311	6155688.421962218
4.88	0.8233012584182683	4714262.605831714
4.93	1.1647814736912536	1073752.3203665274
5.35	0.6330111320820191	7705449.612283107
5.41	0.936839907717636	3545558.914086425
5.41	0.6194602116605562	8100180.793591792
5.41	1.1151843572014157	1503653.0699488753
5.47	0.9566484510120177	3267816.742277749
5.47	0.6818019453474781	6531294.783619372
5.59	0.5051575960530754	11429755.839575473
5.99	0.5221043317678229	10936106.34567001
5.99	0.9352218665016845	3571141.7675711517
6.06	1.166964045624061	1053861.8479412436
6.06	1.3193296943462156	224641.3108510204
6.14	0.9999924129812292	2813404.4292968065
6.37	0.5191137313475732	11023220.962241566
6.54	0.8861414290751939	4187405.2952558873
6.71	0.8861414290751939	4187405.2952558873
6.9	0.8745663520711341	4236942.904947946
7.0	0.8600975058160595	4298864.917063017
7.2	0.6465620525034821	7310718.430974417
7.3	0.5201105981543229	10994182.75671772
7.41	0.816917371605014	4803264.549187673
7.41	0.8335154773194752	4571859.496462179
7.52	0.6303009479977264	7784395.848544847
7.52	0.9271316604219267	3699056.0349947857
7.52	0.640238289640133	7494926.315585131
7.75	0.8118102621544104	4874466.103872443
7.75	0.8130870395170613	4856665.71520125
8.0	0.798151569974277	5101078.734641191
8.0	0.7383351797752745	6583007.047551209
8.0	0.8143638168797122	4838865.326530059
8.0	0.845006473583333	4411655.998421451
8.13	0.5380542006758203	10471495.057288403
8.27	0.7278608729292435	6462691.104879437
8.27	0.7838409771404091	5581290.218365638
8.27	0.8644381596925818	4280288.313428497
8.4	0.8130870395170613	4856665.71520125
8.55	0.5690558777472607	9568432.517449578
8.55	0.7192909855097636	6364250.788147987
8.7	0.8041495979785052	4981268.435899595
8.7	0.7794377178069114	5729047.597973157
8.85	0.8156405942423629	4821064.937858868
8.85	0.7937483106407791	5248836.114248717
8.85	0.7069122592371813	6222059.21953589
9.01	0.7364307603487235	6561131.421610887
9.01	0.94654196436467	3392159.6735388837
9.35	0.7097688883770079	6254872.658446373
9.35	0.6923526300605899	6305930.966625081
9.52	0.6976279724171458	6193249.058127935
9.71	0.7345263409221724	6539255.795670565
9.71	0.5766954668527375	9345895.30680066
9.9	0.6554252335646983	7094704.326105107
9.9	0.7345263409221724	6539255.795670565
10.31	0.6730097080865514	6719097.964447953
10.31	0.7116733078035591	6276748.284386696
10.52	0.7078644689504568	6232997.0325060515
10.52	0.6212670010500845	8047549.969417304
10.52	0.7307175020690702	6495504.54378992
10.75	0.5518668022599386	10069141.241409628
10.75	0.6730097080865514	6719097.964447953
10.75	0.7211954049363146	6386126.414088309
10.99	0.6563044572907911	7075924.008022245
11.23	0.6633382470995322	6925681.4633593885
11.23	0.5051575960530754	11429755.839575473
11.49	0.6492722365877749	7231772.194712674
12.98	0.4433815467019855	13768267.693576401
14.08	0.8600975058160595	4298864.917063017
15.37	0.6131364487972066	8284388.678202518
18.85	0.827131590506221	4660861.439818136
23.22	1.2281281352964024	571008.7082250784
