13.16  10.79 13.7
 9.31  10.23 12.7
 9.83  10.25 12.4
 6.91   9.40 10.9 
13.09  10.96 13.8 
10.25  10.44 12.71 
 7.41   9.68 11.3 
13.27  11.12 14.1 
 8.84   9.68 11.1 
 8.90   9.80 11.6 
 3.91   9.80 11.3 
 8.68   9.80 11.5 
 7.59   9.28 10.5 
10.09  10.25 12.9 
 9.50  10.24 12.3 
 9.30  10.20 11.9 
11.78  10.71 13.7 
 9.42  10.25 12.3 
 9.11  10.02 11.6 
 7.02   8.80 10.2 
 6.29   9.32 10.6 
 5.90   9.25 10.8 
 4.80  10.00 12.5 
14.59  11.22 14.3 
13.15   8.76  9.7 
 9.34  10.16 12.3 
 8.88   9.97 11.8 
 4.27  10.40 13.8 
 8.89   9.68 11.2 
 7.43   9.50 11.0 
12.49  11.12 14.0 
 9.13   9.68 11.5 
11.16  10.53 12.9 
 2.43  10.15 12.7 
 9.15  10.25 12.4 
11.08  10.59 13.0 
12.04  10.69 13.2 
12.22  10.87 13.7 
 3.52  10.92 14.0 
 9.95  10.26 12.4 
11.71  10.66 13.1 
 8.91   9.77 12.0 
 9.75  10.21 12.3 
 2.83  11.41 14.8 
12.30  10.89 13.5 
11.43  10.19 12.9 
 6.28   9.34 10.9 
 5.70   9.29 10.6 
11.25  10.59 13.5 
12.36  10.58 13.7 
11.38  10.43 12.6 
14.82  10.34 12.6


 
 
 
 
 
 
































 
 
 
 









