 0.088 0.42
 0.096 0.47
 0.107 0.45
 0.112 0.45
 0.126 0.73
 0.127 0.34
 0.128 0.47
 0.130 0.43
 0.132 0.43
 0.133 0.48
 0.139 0.50
 0.141 0.54
 0.143 0.83 
 0.149 0.60
 0.154 0.50
 0.158 0.61
 0.164 0.76
 0.179 0.58
 0.182 0.60
 0.186 0.82
 0.187 0.26
 0.195 0.66
 0.203 0.72
 0.237 1.14
 0.241 0.38
 0.244 1.18
 0.254 1.11
 0.274 1.44
 0.278 1.34
 0.289 0.39
 0.296 1.49
 0.297 0.38
 0.303 0.49
 0.319 0.47
 0.320 1.15
 0.325 1.02
 0.331 1.25
 0.336 1.19
 0.337 0.55
 0.337 0.43
 0.338 1.16
 0.353 0.88
 0.359 1.09
 0.360 1.08
 0.368 1.22
 0.382 0.56
 0.382 0.53
 0.384 1.02
 0.387 0.73
 0.393 1.13
 0.395 1.26
 0.398 0.43
 0.404 0.42
 0.406 1.03
 0.413 1.16
 0.419 1.38
 0.427 0.97
 0.451 1.17
 0.460 1.05
 0.464 1.22
 0.467 0.38
 0.480 1.21
 0.503 1.16
 0.511 1.21
 0.513 1.25
 0.513 0.60
 0.520 1.06
 0.528 0.85
 0.543 0.84
 0.548 0.58
 0.560 0.66
 0.570 0.81
 0.580 0.30
 0.596 0.44
 0.596 0.50
 0.597 0.25
 0.623 1.08
 0.624 0.56
 0.629 0.98
 0.631 0.48
 0.636 0.54
 0.651 1.36
 0.654 0.83
 0.662 0.50
 0.691 0.31
 0.691 1.04
 0.698 1.19
 0.699 0.47
 0.716 0.54
 0.716 0.94
 0.728 0.99
 0.739 0.96
 0.739 1.23
 0.754 1.11
 0.765 1.00
 0.766 0.45
 0.766 1.13
 0.781 0.41
 0.809 0.99
 0.831 0.43
 0.832 0.45
 0.852 1.02
 0.859 0.61
 0.873 1.00
 0.874 0.49
 0.879 0.29
 0.882 0.93
 0.901 0.88
 0.914 1.08
 0.933 1.27
 0.933 0.92
 0.952 0.84
 0.971 0.92
 0.984 0.84
 0.994 1.00
 1.006 0.80
 1.033 1.30
 1.044 0.86
 1.071 0.53
 1.077 0.43
 1.101 0.89
 1.109 0.88
 1.111 0.75
 1.134 0.09
 1.139 0.69
 1.165 1.31
 1.185 1.03
 1.185 0.93
 1.231 0.81
 1.240 0.53
 1.275 0.75
 1.282 0.21
 1.288 0.96
 1.329 0.92
 1.336 0.61
 1.351 0.31
 1.358 0.87
 1.377 0.93
 1.381 0.17
 1.404 0.08
 1.412 1.00
 1.510 0.55
 1.665 1.26
 1.671 0.18
 1.688 0.78
 1.778 0.56
 1.830 0.45
 1.837 0.92
 1.864 1.09
 1.914 0.51
 1.929 0.15
 2.055 0.93
 2.055 0.60
 2.098 0.10
 2.143 0.86
 2.143 0.57
 2.162 0.67
 2.209 0.40
 2.290 0.78
 2.333 0.85
 2.344 0.52
 2.389 0.39
 2.389 0.60
 2.400 0.90
 2.435 1.49
 2.476 0.66
 2.508 0.55
 2.521 0.54
 2.534 0.75
 2.547 0.97
 2.560 0.56
 2.599 0.76
 2.683 0.96
 2.683 0.65
 2.697 0.56
 2.742 0.58
 2.788 0.62
 2.835 0.68
 2.835 0.89
 2.851 0.51
 2.868 0.58
 2.884 0.65
 2.918 0.61
 2.918 0.69
 2.952 1.22
 3.079 0.96
 3.079 1.00
 3.118 0.20
 3.197 0.68
 3.197 0.74
 3.218 0.68
 3.218 0.78
 3.303 0.57
 3.347 1.16
 3.347 0.48
 3.392 0.59
 3.415 0.94
 3.439 0.65
 3.463 0.86
 3.511 0.70
 3.561 0.61
 3.561 0.63
 3.587 0.71
 3.587 1.36
 3.612 0.71
 3.692 0.99
 3.692 0.66
 3.710 0.83
 3.720 0.76
 3.720 0.59
 3.748 0.88
 3.776 0.58
 3.776 0.77
 3.805 1.47
 3.864 1.25
 3.864 0.58
